[[state,39,57,64,65,66,69,74,101,149,176,177,178,189,190,191,192,193,194,195,202,203,207,208,238,243,244,246,247,249,251,252,253,254,280,281,282,286,287,291,292,293,300,301,303,305,308,309,310,312,313,314,315,329,330,372,377,378,379,389,390,391,392,394,418,419,439,460,469,470,473,480,481,482,491,536,552,563,602,603,638,640,641,682,683,684,689,690,698,699,811,812,853,870,871,872,885,897,917,918,948],
[avg,657.1568627,592.3921569,1217.509804,2086.54902,1095.078431,1591.8,451.2291667,957.9215686,520.6,628.2745098,1307.058824,1100,1864.686275,2934.843137,2911.588235,2250.784314,2509.588235,3890,1566.137255,654.8163265,404.3170732,528.24,1334.901961,679.7843137,581.2941176,548.0588235,531.4509804,2122.980392,652.94,560.4509804,684.44,714.3921569,527.7,1253.607843,800.7058824,423.4509804,436.4,2272.941176,3639.196078,4353.686275,1749.352941,754.0784314,380.5454545,628.8333333,536.2765957,1197.254902,2009.490196,2224.588235,2782.705882,2570.176471,1001.54902,364.125,730.3921569,995.4117647,581.8163265,948.9803922,2719.176471,654.7647059,918.8235294,624.98,860.52,4801.058824,810.7058824,364.54,316.8039216,366.2857143,1294.058824,389.875,8376.607843,467.3333333,357.02,1520.098039,406.6470588,678.0196078,454.56,1237.568627,413.8367347,354.28,2762.627451,941.6666667,1114.039216,3012.941176,1980.960784,2949.882353,398.7755102,1305.54902,4052.843137,450.7142857,484.7959184,513.787234,1820.607843,774.1568627,471.3333333,6256.313725,2204.509804,1831.285714,626.1764706,339.04,573.0392157,988.4509804],
[std,604.4333393,702.9565596,1226.997026,1983.668767,1036.640366,1724.658239,477.973554,1065.952043,656.3914279,522.9839003,1335.811311,1076.285096,1654.49551,2929.137954,2920.500818,2227.940923,2366.857519,3507.819981,1432.289816,708.6441977,420.6604238,572.5943961,1313.890903,608.6704351,609.3957565,560.5088169,513.4058256,2052.260279,575.134642,649.0621987,806.0373728,736.5989432,501.7871361,1338.092849,792.6648599,421.8849073,437.9015414,2162.717847,3808.07393,4270.232558,1725.314621,843.2117833,416.5260799,673.9077686,624.8070239,1171.571575,1981.621394,2244.673453,3300.903574,2888.638113,1105.306422,362.8887355,696.0610205,884.8614199,611.0974295,994.3572856,2607.442423,711.5442083,924.5130293,616.9441625,883.0770802,4864.401619,889.3653894,384.7335811,340.7388753,334.59479,1224.184185,344.3433137,7384.115546,479.5408207,342.276116,1434.366257,420.3451347,634.0182001,491.757345,1342.610849,505.7313293,406.6339897,2884.560516,1011.10083,1199.698573,2968.287758,2041.124843,2866.910092,401.3139778,1408.836348,4179.755877,429.2399072,486.1401486,579.3817298,2040.320881,877.5680159,658.8179229,6858.920851,2320.043495,2390.093056,814.6814777,342.9445413,537.9422653,985.3426858],
[AK,23,11,45,152,84,31,,39,,26,29,57,72,163,154,131,110,320,126,,,28,56,30,33,57,37,131,,63,13,11,,22,17,12,18,143,111,217,61,12,,12,,19,101,135,56,81,20,,36,87,,20,161,26,14,,,210,19,15,11,,118,,648,68,,57,22,84,,20,,,156,32,29,109,62,147,,12,188,,,13,73,22,11,255,120,138,25,,30,35],
[AL,788,575,1271,2404,1181,1393,469,960,191,681,1391,1001,2095,3734,3780,3235,2782,4416,2025,838,585,470,1314,805,517,475,564,2183,787,379,658,799,714,1029,596,412,612,3073,3697,4646,2030,732,469,403,458,1123,1963,2301,2390,2249,774,299,692,990,400,841,2869,797,938,549,774,5771,772,514,386,287,1681,439,8411,1085,323,1670,425,806,334,892,227,244,2825,970,1055,3546,1904,2580,344,1215,4598,458,362,456,2453,531,266,4773,1839,1562,870,364,734,1075],
[AR,652,247,659,1463,759,721,168,410,15,377,849,861,1373,1774,1716,1638,1596,3049,1557,292,183,329,823,475,359,399,468,2342,901,342,271,410,553,647,413,257,249,2375,1892,2749,1429,365,229,341,306,697,1208,1624,1032,1204,523,195,462,744,191,525,1669,381,604,352,439,3144,310,282,226,239,786,187,5441,397,190,1010,453,763,268,622,118,145,1428,562,615,2060,1090,1603,168,688,2787,168,186,248,1227,301,159,3359,1434,1634,224,142,452,520],
[AZ,606,386,892,1581,877,1344,306,729,458,746,901,765,1310,2099,1988,1316,1876,3092,1240,483,210,260,1132,781,578,603,566,2026,375,630,458,526,383,614,459,215,294,1813,2182,2643,876,544,237,319,483,904,1873,2079,1971,1656,887,242,674,1059,574,589,2083,368,882,483,713,4031,705,495,440,298,1215,365,8943,277,330,1394,174,753,427,919,224,231,2297,538,1041,2124,1350,2375,266,762,2819,373,483,197,1021,680,202,4234,1571,279,100,327,429,676],
[CA,1715,1469,5260,7840,3723,4441,1347,2822,1076,1398,6151,4920,5469,9472,8297,5280,9003,13067,4586,1979,609,2104,4354,1740,2212,1953,1985,6636,1406,1981,2675,2087,1413,4443,2290,1013,1214,6092,14425,13819,4863,2157,481,1922,881,3749,6165,5621,7631,10070,3957,851,2439,3272,1726,3767,9249,2076,3433,2209,3188,14718,3150,1170,1109,1051,3926,1048,29731,1248,1203,4971,1542,2930,1449,4346,1204,1334,9880,3299,4449,10497,7009,9016,584,4685,14151,1608,1508,1701,5733,4108,3057,34284,11162,10994,2056,1393,1680,2522],
[CO,255,254,471,929,478,687,145,434,166,636,594,565,941,1021,1030,692,1181,2059,713,263,41,82,583,348,248,226,149,924,268,263,171,190,120,239,248,134,82,755,920,1587,508,200,82,62,89,428,953,759,1032,1019,360,201,406,694,265,379,1280,245,527,365,481,2337,397,199,95,175,1459,194,6991,335,175,945,207,512,354,817,280,86,1082,354,519,1605,688,1236,114,470,1835,274,298,55,422,380,47,2572,966,52,188,232,303,643],
[CT,384,397,856,1334,801,1216,249,640,360,380,1394,1247,1756,1948,1590,1001,2051,2872,1034,436,238,372,897,418,429,409,278,1163,518,276,344,487,382,1054,661,279,210,1065,2748,3111,1174,487,173,446,243,1066,1603,1441,2759,1969,535,220,530,818,471,800,2190,527,724,629,601,3288,668,185,201,296,637,318,5324,238,318,1211,246,325,300,799,307,296,2121,594,747,2119,1380,2311,350,1217,3027,396,356,282,1031,469,239,4594,1620,24,499,197,408,629],
